,No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
165,166,CM,3.23%,4.57%,6.33%,6.67%,-13.36%,9.15%,1.29%,1.55%,2.9,1.20M,2.47,44.15,0.59%,2956385
166,167,CMCSA,2.41%,2.26%,14.35%,16.55%,2.67%,17.82%,1.59%,1.88%,2.3,19.23M,1.76,41.2,-0.65%,33882710
167,168,CME,-0.39%,0.88%,-1.01%,8.06%,-5.91%,9.49%,2.04%,1.73%,2.4,1.55M,2.35,184.11,1.04%,3637833
168,169,CMG,-0.37%,-1.41%,26.36%,32.15%,60.56%,46.52%,1.33%,1.48%,1.9,286.58K,1.2,2032.92,-0.91%,343603
169,170,CMI,4.05%,9.32%,4.71%,-2.49%,18.40%,-2.67%,2.67%,2.46%,2.5,1.06M,1.69,235.81,-0.58%,1788610
170,171,CMS,0.08%,3.25%,-0.98%,-4.74%,-3.06%,-4.09%,1.43%,1.69%,2.4,2.27M,1.17,60.74,-0.46%,2644767
171,172,CNA,-2.63%,-2.26%,4.70%,-3.91%,-8.46%,-6.41%,2.37%,2.01%,2.8,172.17K,2.96,38.51,0.71%,508950
172,173,CNC,-4.84%,-2.29%,4.97%,-20.89%,-15.23%,-19.94%,2.57%,2.49%,2.0,3.50M,1.6,65.66,-0.70%,5622573
173,174,CNHI,6.14%,4.46%,5.83%,-10.42%,10.49%,-9.53%,1.61%,2.20%,2.1,5.33M,0.86,14.53,-0.21%,4575350
174,175,CNI,4.17%,-0.18%,3.22%,-5.47%,7.82%,0.06%,1.43%,1.75%,2.5,1.19M,1.37,118.95,0.84%,1637766
175,176,CNP,0.79%,1.60%,0.45%,-5.72%,3.77%,-2.70%,1.45%,1.54%,2.1,3.81M,1.74,29.18,-0.31%,6640359
